STORECODE|STORENAME|BRAND|ZONE|REGION|DISTRICT|STORETYPE|STORESTATUS|CITY|STATE
TMW_2625|#2625 Treasure Valley|TMW|TMW_W|TMW_W3|TMW_W301|Brick & Mortar|Open|Nampa|ID
TMW_5446|#5446 Riverhead Ny|TMW|TMW_N|TMW_N4|TMW_N403|Brick & Mortar|Open|Riverhead|NY
TMW_1536|#1536 Fort Smith Pavilion|TMW|TMW_W|TMW_W2|TMW_W203|Brick & Mortar|Open|Fort Smith|AR
TMW_3201|#3201Crossroads Plaza|TMW|TMW_S|TMW_S1|TMW_S102|Brick & Mortar|Open|Cary|NC
TMW_3213|#3213Promenade At Haywood|TMW|TMW_S|TMW_S4|TMW_S402|Brick & Mortar|Open|Greenville|SC
TMW_5404|#5404Country Glen Shopping Center|TMW|TMW_N|TMW_N4|TMW_N403|Brick & Mortar|Open|Carle Place|NY
TMW_2666|#2666 Tigard, Or|TMW|TMW_W|TMW_W3|TMW_W303|Brick & Mortar|Open|Tigard|OR
TMW_4107|#4107Tamarack Village|TMW|TMW_W|TMW_W4|TMW_W402|Brick & Mortar|Open|Woodbury|MN
TMW_5140|#5140 Warwick, Ri|TMW|TMW_N|TMW_N3|TMW_N302|Brick & Mortar|Open|Warwick|RI
TMW_2510|#2510 Scottsdale, Az|TMW|TMW_W|TMW_W3|TMW_W304|Brick & Mortar|Open|Scottsdale|AZ
TMW_5312|#5312 Victor, Ny|TMW|TMW_N|TMW_N3|TMW_N301|Brick & Mortar|Open|Victor|NY
TMW_3515|#3515Festival At Riva|TMW|TMW_N|TMW_N2|TMW_N204|Brick & Mortar|Open|Annapolis|MD
TMW_5415|#5415Bay Terrace Shopping Center|TMW|TMW_N|TMW_N4|TMW_N403|Brick & Mortar|Open|Bayside|NY
TMW_4223|#4223Green Oak Village|TMW|TMW_N|TMW_N1|TMW_N101|Brick & Mortar|Open|Brighton|MI
TMW_3216|#3216 Wilmington, Nc|TMW|TMW_S|TMW_S1|TMW_S102|Brick & Mortar|Open|Wilmington|NC
TMW_1261|#1261Denton Towne Center|TMW|TMW_S|TMW_S5|TMW_S504|Brick & Mortar|Open|Denton|TX
TMW_1541|#1541Hamilton Place Mall|TMW|TMW_S|TMW_S4|TMW_S404|Brick & Mortar|Open|Chattanooga|TN
TMW_4414|#4414Dayton Mall|TMW|TMW_N|TMW_N1|TMW_N102|Brick & Mortar|Open|Dayton|OH
TMW_1601|#1601Orchard Corners Shopping Center|TMW|TMW_W|TMW_W2|TMW_W201|Brick & Mortar|Open|Lenexa|KS
TMW_4305|#4305 Ft. Wayne, In|TMW|TMW_N|TMW_N1|TMW_N106|Brick & Mortar|Open|Fort Wayne|IN
TMW_4104|#4104Burnsville Marketplace|TMW|TMW_W|TMW_W4|TMW_W404|Brick & Mortar|Open|Burnsville|MN
TMW_2697|#2697Keizer Station|TMW|TMW_W|TMW_W3|TMW_W303|Brick & Mortar|Open|Keizer|OR
TMW_5115|#5115 Braintree, Ma|TMW|TMW_N|TMW_N3|TMW_N305|Brick & Mortar|Open|Braintree|MA
TMW_1212|#1212 Round Rock, Tx|TMW|TMW_S|TMW_S5|TMW_S501|Brick & Mortar|Open|Round Rock|TX
TMW_1521|#1521West Towne Pointe|TMW|TMW_S|TMW_S1|TMW_S105|Brick & Mortar|Open|Knoxville|TN
TMW_4507|#4507Lafayette Plaza|TMW|TMW_N|TMW_N1|TMW_N105|Brick & Mortar|Open|Pittsburgh|PA
TMW_5212|#5212Fairfield Place|TMW|TMW_N|TMW_N4|TMW_N406|Brick & Mortar|Open|Exton|PA
TMW_4621|#4621Rose Plaza|TMW|TMW_W|TMW_W4|TMW_W405|Brick & Mortar|Open|Crystal Lake|IL
TMW_5204|#5204Airport Square Shopping Center|TMW|TMW_N|TMW_N4|TMW_N404|Brick & Mortar|Open|North Wales|PA
TMW_4227|#4227Grand Traverse Commerce Center|TMW|TMW_N|TMW_N1|TMW_N104|Brick & Mortar|Open|Traverse City|MI
TMW_3108|#3108Henry Town Center|TMW|TMW_S|TMW_S4|TMW_S406|Brick & Mortar|Open|Mcdonough|GA
TMW_1252|#1252 Oklahoma City, Ok|TMW|TMW_W|TMW_W2|TMW_W203|Brick & Mortar|Open|Oklahoma City|OK
TMW_5444|#5444 Milford Ct|TMW|TMW_N|TMW_N3|TMW_N303|Brick & Mortar|Open|Milford|CT
TMW_3314|#3314Winter Garden Village|TMW|TMW_S|TMW_S2|TMW_S201|Brick & Mortar|Open|Winter Garden|FL
TMW_3534|#3534Pembroke Town Center|TMW|TMW_S|TMW_S1|TMW_S104|Brick & Mortar|Open|Virginia Beach|VA
TMW_5119|#5119 Leominster, Ma|TMW|TMW_N|TMW_N3|TMW_N304|Brick & Mortar|Open|Leominster|MA
TMW_2717|#2717Paseo Nuevo|TMW|TMW_W|TMW_W1|TMW_W102|Brick & Mortar|Open|Santa Barbara|CA
TMW_1248|#1248 Southlake, Tx|TMW|TMW_S|TMW_S5|TMW_S504|Brick & Mortar|Open|Southlake|TX
TMW_3321|#3321Ramblewood Square|TMW|TMW_S|TMW_S2|TMW_S202|Brick & Mortar|Open|Coral Springs|FL
TMW_5209|#5209Whitehall Mall|TMW|TMW_N|TMW_N4|TMW_N404|Brick & Mortar|Open|Whitehall|PA
TMW_2515|#2515 Avondale, Az|TMW|TMW_W|TMW_W3|TMW_W304|Brick & Mortar|Open|Avondale|AZ
TMW_3504|#3504270 Center|TMW|TMW_N|TMW_N2|TMW_N206|Brick & Mortar|Open|Gaithersburg|MD
TMW_3513|#3513Shops At Waldorf Center|TMW|TMW_N|TMW_N2|TMW_N203|Brick & Mortar|Open|Waldorf|MD
TMW_5101|#5101Park Plaza|TMW|TMW_N|TMW_N3|TMW_N305|Brick & Mortar|Open|Framingham|MA
TMW_3325|#3325Downtown Dadeland|TMW|TMW_S|TMW_S2|TMW_S204|Brick & Mortar|Open|Miami|FL
TMW_3115|#3115Landing At Arbor Place|TMW|TMW_S|TMW_S4|TMW_S406|Brick & Mortar|Open|Douglasville|GA
TMW_2512|#2512 Chandler, Az|TMW|TMW_W|TMW_W3|TMW_W304|Brick & Mortar|Open|Chandler|AZ
TMW_5441|#5441 Stamford, Ct|TMW|TMW_N|TMW_N4|TMW_N402|Brick & Mortar|Open|Stamford|CT
TMW_4508|#4508Millcreek Mall|TMW|TMW_N|TMW_N3|TMW_N301|Brick & Mortar|Open|Erie|PA
TMW_3218|#3218Mt. Pleasant Town Center|TMW|TMW_S|TMW_S1|TMW_S103|Brick & Mortar|Open|Mount Pleasant|SC
TMW_5208|#5208Paxton Towne Centre|TMW|TMW_N|TMW_N2|TMW_N202|Brick & Mortar|Open|Harrisburg|PA
TMW_3208|#3208Triangle Town Commons|TMW|TMW_S|TMW_S1|TMW_S102|Brick & Mortar|Open|Raleigh|NC
TMW_5445|#5445Kings Mall|TMW|TMW_N|TMW_N3|TMW_N306|Brick & Mortar|Open|Kingston|NY
TMW_4641|#4641The Mayfair Collection|TMW|TMW_W|TMW_W4|TMW_W406|Brick & Mortar|Open|Wauwatosa|WI
TMW_1504|#1504Wolfchase Commons|TMW|TMW_S|TMW_S3|TMW_S305|Brick & Mortar|Open|Memphis|TN
TMW_1607|#1607 Overland Park, Ks|TMW|TMW_W|TMW_W2|TMW_W201|Brick & Mortar|Open|Overland Park|KS
TMW_4620|#4620Fox Valley Store|TMW|TMW_W|TMW_W4|TMW_W403|Brick & Mortar|Open|Aurora|IL
TMW_3542|#3542Apple Blossom Mall|TMW|TMW_N|TMW_N2|TMW_N206|Brick & Mortar|Open|Winchester|VA
TMW_5320|#5320 Clifton Park|TMW|TMW_N|TMW_N3|TMW_N306|Brick & Mortar|Open|Clifton Park|NY
TMW_5136|#5136Chamberlain Plaza|TMW|TMW_N|TMW_N3|TMW_N303|Brick & Mortar|Open|Meriden|CT
TMW_1406|#1406 Lake Charles, La|TMW|TMW_S|TMW_S4|TMW_S403|Brick & Mortar|Open|Lake Charles|LA
TMW_3233|#3233 University Commons|TMW|TMW_S|TMW_S1|TMW_S105|Brick & Mortar|Open|Burlington|NC
TMW_1522|#1522 Johnson City, Tn|TMW|TMW_S|TMW_S1|TMW_S105|Brick & Mortar|Open|Johnson City|TN
TMW_4639|#4639Regency Point Shopping Center|TMW|TMW_W|TMW_W4|TMW_W406|Brick & Mortar|Open|Racine|WI
TMW_5470|#5470 New York, Ny|TMW|TMW_N|TMW_N4|TMW_N405|Brick & Mortar|Open|New York|NY
TMW_3337|#3337 Orlando, Fl|TMW|TMW_S|TMW_S2|TMW_S201|Brick & Mortar|Open|Orlando|FL
TMW_1267|#1267 Abilene, Tx|TMW|TMW_S|TMW_S5|TMW_S507|Brick & Mortar|Open|Abilene|TX
TMW_4127|#4127 Waterloo, Ia|TMW|TMW_W|TMW_W4|TMW_W405|Brick & Mortar|Open|Waterloo|IA
TMW_4309|#4309Honey Creek Commons|TMW|TMW_S|TMW_S3|TMW_S301|Brick & Mortar|Open|Terre Haute|IN
TMW_2402|#2402Boca Park|TMW|TMW_W|TMW_W3|TMW_W302|Brick & Mortar|Open|Las Vegas|NV
TMW_2733|#2733Chino Spectrum Marketplace|TMW|TMW_W|TMW_W1|TMW_W104|Brick & Mortar|Open|Chino|CA
TMW_2703|#2703 Santa Monica|TMW|TMW_W|TMW_W1|TMW_W104|Brick & Mortar|Open|Santa Monica|CA
TMW_1701|#1701 Brentwood, Mo|TMW|TMW_S|TMW_S3|TMW_S304|Brick & Mortar|Open|Brentwood|MO
TMW_1210|#1210Bird Creek Crossing|TMW|TMW_S|TMW_S5|TMW_S501|Brick & Mortar|Open|Temple|TX
